Nom,Organisation,Type de données,Lien officiel
Classification nationale des professions (CNP / NOC 2021),EDSC / Statistique Canada,"Classification officielle des professions (unit groups, TEER, titres, descriptions)",https://noc.esdc.gc.ca/ + https://www.statcan.gc.ca/fr/sujets/norme/cnp/2021/indexV1
OaSIS & Skills and Competencies Taxonomy,EDSC,"Base de compétences pour ~900 professions canadiennes, alignée NOC, dérivée d'O*NET",https://noc.esdc.gc.ca/
"LMI Data Files (NOC, Skills Taxonomy, Career Handbook)",EDSC,"Fichiers de référence LMI: NOC 2021, taxonomie compétences, guide de carrière",https://open.canada.ca/data/en/dataset
O*NET Database & Web Services,US DOL / O*NET Resource Center,"Taxonomie détaillée: occupations, compétences, capacités, activités, intérêts, contextes de travail",https://www.onetcenter.org/ 
ESCO – Classification européenne,Commission européenne (DG EMPL),"Classification multilingue métiers, compétences, qualifications; relations métiers-compétences",https://esco.ec.europa.eu/
Job Bank / Guichet-Emplois,Gouvernement du Canada (EDSC),"Offres d'emploi actives, perspectives, salaires, profils métiers",https://www.jobbank.gc.ca/
Job Bank – Employment Outlooks,EDSC,Perspectives d'emploi par profession et région (3 ans),https://open.canada.ca/data/
IMT en ligne,MTESS / Emploi-Québec,"Professions, formations, secteurs, perspectives au Québec",https://imt.emploiquebec.gouv.qc.ca/
Statistique Canada – Web Data Service (WDS),Statistique Canada,"Données macro: emploi, chômage, salaires, secteurs (EPA/LFS, tableaux CANSIM)",https://www.statcan.gc.ca/en/developers/wds
Données Québec (portail),Gouvernement du Québec (SCT),"Portail open data: emploi, éducation, CNESST, transport, etc.",https://www.donneesquebec.ca/
Statistique Québec / BDSO,Institut de la statistique du Québec,"Indicateurs emploi, diplomation, salaires, lésions, démographie QC",https://statistique.quebec.ca/
LMIC Data Hub,Conseil de l'information sur le marché du travail (CIMT),"Tableaux de bord, données régionales LMI, salaires, compétences",https://lmic-cimt.ca/fr/ressources-imt/
Quebec Labour Market Outlook,LMIC / Emploi-Québec,"Perspectives du marché du travail québécois, projections par profession",https://lmic-cimt.ca/
SPPC / COPS (Système de projection des professions au Canada),EDSC,Prévisions offre/demande de main-d'œuvre par profession (10 ans),https://occupations.esdc.gc.ca/sppc-cops/
Open Government Portal – LMI & emploi,Gouvernement du Canada,"Portail de données ouvertes fédéral: emploi, immigration, économie",https://open.canada.ca/
Enquêtes Relance (MEQ),Ministère de l'Éducation du Québec,"Taux de placement, salaires, satisfaction des diplômés QC (secondaire, collégial, universitaire)",https://www.education.gouv.qc.ca/
Tableau de bord de l'éducation (MEQ),Ministère de l'Éducation du Québec,"Données scolaires, diplomation, Charlemagne",https://www.education.gouv.qc.ca/
Pan-Canadian Education Indicators Program (PCEIP),Statistique Canada / CMEC,"Indicateurs éducation pancanadiens: diplomation, transition études-travail",https://www.statcan.gc.ca/
HEQCO – Open Data,Higher Education Quality Council of Ontario,"Performance postsecondaire: 34 indicateurs accès, expérience étudiante",https://heqco.ca/
Liste des universités canadiennes,Statistique Canada,Référentiel officiel des établissements postsecondaires,https://www.statcan.gc.ca/
Universités Canada (membres),Universités Canada,"Répertoire des universités membres, programmes",https://www.univcan.ca/
Colleges and Institutes Canada (CICan),CICan,Répertoire des collèges et instituts canadiens,https://www.collegesinstitutes.ca/
World Higher Education Database (WHED),Association internationale des universités (IAU),Base mondiale d'établissements postsecondaires reconnus,https://www.whed.net/
